,State,Total_Offenses_Society,Animal_Cruelty,Drug_Narcotic_Offenses,Gambling_Offenses,Pornography_Obscene_Material,Prostitution_Offenses,Weapon_Law_Violations,Population_Covered,Total_Offenses_Property,Arson,Bribery,Burglary_Breaking_Entering,Counterfeiting_Forgery,Destruction_Damage_Vandalism,Embezzlement,Extortion_Blackmail,Fraud_Offenses,Larceny_Theft_Offenses,Motor_Vehicle_Theft,Robbery,Stolen_Property_Offenses,Total_Offenses_Person,Assault_Offenses,Homicide_Offenses,Human_Trafficking_Offenses,Kidnapping_Abduction,Sex_Offenses,Total_Offenses,Crime_Rate_Total,Crime_Rate_Property,Crime_Rate_Society,Crime_Rate_Person,Year
38,Oregon,15389,462,8316,1,487,304,5819,4093590.0,172886,1402,11,13278,2642,36405,238,226,16021,79546,19241,2498,1378,40502,36127,242,38,493,3602,228777,55.88664228708786,42.233345303266816,3.759291966220359,9.894005017600687,2021
39,Pennsylvania,10321,60,5890,15,107,69,4180,2173050.0,75149,544,3,4690,276,15707,170,112,10492,31604,7344,3886,321,31764,29675,548,16,68,1457,117234,53.94905777593704,34.58226916085686,4.7495455695911275,14.617243045489058,2021
40,Rhode Island,3904,44,2556,7,352,8,937,1094546.0,24698,95,4,1542,495,6065,99,64,3561,10398,1635,278,462,9192,8268,40,5,56,823,37794,34.52938478602087,22.564606695378725,3.566775631174935,8.398002459467213,2021
41,South Carolina,58770,379,48001,47,959,99,9285,5112587.0,191881,677,11,18353,3522,34272,774,269,20095,93193,13937,2516,4262,93278,87692,605,26,1032,3923,343929,67.2710312802501,37.531097270325176,11.495158908787273,18.244775101137645,2021
42,South Dakota,11866,30,10688,14,242,33,859,824054.0,21932,72,5,2024,580,4306,183,23,1732,10572,1959,169,307,13290,11942,46,8,139,1155,47088,57.14188633269179,26.614760683159115,14.399541777601954,16.127583871930725,2021
43,Tennessee,105759,571,88169,35,950,407,15627,6968993.0,241615,936,24,22517,4597,45554,1430,609,25247,112912,20142,4924,2723,146650,137869,761,108,2144,5768,494024,70.88886443134611,34.67000182092305,15.175650197955429,21.043212412467625,2021
44,Texas,220310,2952,175637,449,4903,2860,33509,28865719.0,946717,2921,112,91628,18646,165521,2394,775,98477,452357,87047,22438,4401,465503,435319,2370,549,3102,24163,1632530,56.55601372687096,32.79727762887181,7.632236702643714,16.126499395355438,2021
45,Utah,43979,116,39435,1,535,134,3758,3188815.0,107749,256,7,6968,1812,23747,82,309,12751,50959,7960,1038,1860,37427,31081,98,64,1050,5134,189155,59.31827340250218,33.78966794875212,13.791643604285605,11.736961849464455,2021
46,Vermont,1386,28,1169,1,81,10,97,645570.0,13817,43,0,1129,179,3249,59,17,1455,7006,450,65,165,4045,3589,15,4,76,361,19248,29.81551187322831,21.402791331691372,2.146939913564757,6.2657806279721795,2021
47,Virginia,53228,1185,35386,15,2084,373,14185,8640726.0,221013,647,30,10464,3489,47560,1569,814,36400,104537,11248,2929,1326,102759,94446,666,62,1738,5847,377000,43.63059307747983,25.57805906587016,6.160130526069222,11.89240348554045,2021
48,Washington,16024,299,9325,25,619,314,5442,7700987.0,357551,1587,11,39475,3560,77062,140,718,24008,164309,35326,5680,5675,82643,75137,361,59,1252,5834,456218,59.241497226264634,46.42924342035638,2.0807722438695193,10.731481562038736,2021
49,West Virginia,13520,25,11512,2,498,49,1434,1575083.0,30705,237,4,3344,663,5807,101,13,2615,15198,1797,198,728,14435,12807,107,62,168,1291,58660,37.24248182476733,19.494210781273114,8.583674638098437,9.16459640539578,2021
50,Wisconsin,60506,309,45779,5,1752,324,12337,5423821.0,131390,474,0,9298,2005,25830,540,275,15565,57234,15950,2648,1571,48549,42121,401,80,971,4976,240445,44.33129338154781,24.224619507170317,11.15560413959089,8.951069734786602,2021
51,Wyoming,4094,75,3750,0,95,17,157,450309.0,10750,52,1,1056,174,2577,9,60,896,5005,851,47,22,5867,5202,33,13,68,551,20711,45.99286267873838,23.87249644133251,9.09153492379677,13.0288313136091,2021
0,Total,1860969,20512,1459460,2121,39871,13007,325998,256187698.0,7849624,30166,652,672139,147573,1497908,32481,20298,843491,3618452,721157,149862,115445,3456189,3187575,18785,2691,43083,204055,13166782,51.395059570737075,30.640128551371735,7.264084163791503,13.490846855573839,2022
